run,n_windows,mean_prefill_ms,p95_prefill_ms,mean_decode_ms,p95_decode_ms,mean_tps_out,mean_tokens_in,peak_rss_mb
FoundationModels (Neural Engine),3,320.0,320.0,890.0,890.0,2.25,116,48.8
Ollama / vLLM,3,600.3,761.0,1778.0,2262.0,1.52,116,0.0
